SN,Date (AD) ,Index Value ,Absolute Change ,Percentage Change
133,2024/12/29 ,2609.58,-21.12,-0.80%
134,2024/12/26 ,2630.71,4.19,0.15%
135,2024/12/24 ,2626.52,14.31,0.54%
136,2024/12/23 ,2612.2,28.91,1.11%
137,2024/12/22 ,2583.29,-13.53,-0.52%
138,2024/12/19 ,2596.82,-31.43,-1.19%
139,2024/12/18 ,2628.26,-5.6,-0.21%
140,2024/12/17 ,2633.87,2.95,0.11%
141,2024/12/16 ,2630.91,-51.37,-1.91%
142,2024/12/12 ,2682.29,-33.42,-1.23%
143,2024/12/11 ,2715.71,45.88,1.71%
144,2024/12/10 ,2669.82,-6.32,-0.23%
145,2024/12/09 ,2676.15,-12.84,-0.47%
146,2024/12/08 ,2689,-45.93,-1.67%
147,2024/12/05 ,2734.93,-15.93,-0.57%
148,2024/12/04 ,2750.87,-24.97,-0.89%
149,2024/12/03 ,2775.85,17.8,0.64%
150,2024/12/02 ,2758.04,19.97,0.72%
151,2024/12/01 ,2738.06,-9.99,-0.36%
152,2024/11/28 ,2748.05,-8.3,-0.30%
153,2024/11/27 ,2756.36,39.7,1.46%
154,2024/11/26 ,2716.66,33.41,1.24%
155,2024/11/25 ,2683.24,15.83,0.59%
156,2024/11/24 ,2667.4,-13.03,-0.48%
157,2024/11/21 ,2680.44,-31.31,-1.15%
158,2024/11/20 ,2711.75,9.09,0.33%
159,2024/11/19 ,2702.65,-51.11,-1.85%
160,2024/11/17 ,2753.76,4.98,0.18%
161,2024/11/14 ,2748.78,13.95,0.51%
162,2024/11/13 ,2734.83,-14.12,-0.51%
163,2024/11/12 ,2748.96,-11.24,-0.40%
164,2024/11/11 ,2760.21,22.14,0.80%
165,2024/11/10 ,2738.06,62.54,2.33%
166,2024/11/06 ,2675.51,-1.88,-0.07%
167,2024/11/05 ,2677.4,-0.21,0.00%
168,2024/10/30 ,2677.62,-14.43,-0.53%
169,2024/10/29 ,2692.05,46.69,1.76%
170,2024/10/28 ,2645.36,27.41,1.04%
171,2024/10/27 ,2617.95,-9.19,-0.34%
172,2024/10/24 ,2627.14,-18.25,-0.68%
173,2024/10/23 ,2645.39,-20.41,-0.76%
174,2024/10/22 ,2665.81,25.88,0.98%
175,2024/10/21 ,2639.92,-57.99,-2.14%
176,2024/10/20 ,2697.91,-47.44,-1.72%
177,2024/10/17 ,2745.36,2.47,0.09%
178,2024/10/16 ,2742.88,43.22,1.60%
179,2024/10/15 ,2699.66,31.48,1.17%
180,2024/10/09 ,2668.17,4.85,0.18%
181,2024/10/08 ,2663.32,-27.39,-1.01%
182,2024/10/07 ,2690.72,37.13,1.39%
183,2024/10/06 ,2653.58,56.09,2.15%
184,2024/10/02 ,2597.49,-26.07,-0.99%
185,2024/10/01 ,2623.56,114.7,4.57%
186,2024/09/30 ,2508.86,44.45,1.80%
187,2024/09/29 ,2464.4,-22.36,-0.89%
188,2024/09/26 ,2486.76,-32.81,-1.30%
189,2024/09/25 ,2519.57,49.18,1.99%
190,2024/09/24 ,2470.39,-58.93,-2.33%
191,2024/09/23 ,2529.33,-59.02,-2.28%
192,2024/09/22 ,2588.35,11.58,0.44%
193,2024/09/18 ,2576.76,-4,-0.15%
194,2024/09/16 ,2580.76,-57.03,-2.16%
195,2024/09/15 ,2637.79,-50.73,-1.88%
196,2024/09/12 ,2688.53,78.31,3.00%
197,2024/09/11 ,2610.21,-22.73,-0.86%
198,2024/09/10 ,2632.94,-13.09,-0.49%
199,2024/09/09 ,2646.03,-55.86,-2.06%
200,2024/09/08 ,2701.9,-25.46,-0.93%
201,2024/09/05 ,2727.36,-12.1,-0.44%
202,2024/09/04 ,2739.46,-90.73,-3.20%
203,2024/09/03 ,2830.2,6.94,0.24%
204,2024/09/02 ,2823.25,127.32,4.72%
205,2024/09/01 ,2695.93,-53.63,-1.95%
206,2024/08/29 ,2749.57,-36.83,-1.32%
207,2024/08/28 ,2786.4,3.8,0.13%
208,2024/08/27 ,2782.6,-111.96,-3.86%
209,2024/08/25 ,2894.57,-79.88,-2.68%
210,2024/08/22 ,2974.46,6.01,0.20%
211,2024/08/21 ,2968.44,2.11,0.07%
212,2024/08/18 ,2966.33,-34.47,-1.14%
213,2024/08/15 ,3000.81,43.05,1.45%
214,2024/08/14 ,2957.75,34.29,1.17%
215,2024/08/13 ,2923.46,-8.18,-0.27%
216,2024/08/12 ,2931.65,70.81,2.47%
217,2024/08/11 ,2860.84,94.46,3.41%
218,2024/08/08 ,2766.38,6.7,0.24%
219,2024/08/07 ,2759.67,108.35,4.08%
220,2024/08/06 ,2651.32,-145.05,-5.18%
221,2024/08/05 ,2796.38,40.76,1.47%
222,2024/08/01 ,2755.62,-5.29,-0.19%
223,2024/07/31 ,2760.91,64.26,2.38%
224,2024/07/30 ,2696.65,35.55,1.33%
225,2024/07/29 ,2661.09,-20.46,-0.76%
226,2024/07/28 ,2681.56,113.42,4.41%
227,2024/07/25 ,2568.13,32.02,1.26%
228,2024/07/24 ,2536.11,-27.32,-1.06%
229,2024/07/23 ,2563.43,75.33,3.02%
230,2024/07/22 ,2488.09,2.15,0.08%
231,2024/07/21 ,2485.94,61.61,2.54%
232,2024/07/18 ,2424.32,59.68,2.52%
233,2024/07/17 ,2364.63,54.04,2.33%
234,2024/07/16 ,2310.59,70.18,3.13%
235,2024/07/15 ,2240.41,-17.18,-0.76%
236,2024/07/14 ,2257.59,52.97,2.40%
237,2024/07/11 ,2204.61,29.21,1.34%
238,2024/07/10 ,2175.4,23.25,1.08%
239,2024/07/09 ,2152.14,15.79,0.73%
240,2024/07/08 ,2136.35,-4.62,-0.21%
241,2024/07/07 ,2140.97,21.27,1.00%
242,2024/07/04 ,2119.7,15.47,0.73%
243,2024/07/03 ,2104.22,3.79,0.18%
244,2024/07/02 ,2100.43,47.04,2.29%
245,2024/07/01 ,2053.38,16.29,0.80%
246,2024/06/30 ,2037.09,-14.83,-0.72%
247,2024/06/27 ,2051.92,-8.24,-0.40%
248,2024/06/26 ,2060.16,-11.6,-0.56%
249,2024/06/25 ,2071.77,5.6,0.27%
250,2024/06/24 ,2066.16,3.21,0.15%
251,2024/06/23 ,2062.94,-5.37,-0.25%
252,2024/06/20 ,2068.31,-10.44,-0.50%
253,2024/06/19 ,2078.76,2.27,0.10%
254,2024/06/18 ,2076.49,-18.76,-0.89%
255,2024/06/16 ,2095.25,-17.04,-0.80%
256,2024/06/13 ,2112.29,-9.32,-0.43%
257,2024/06/12 ,2121.62,6.37,0.30%
258,2024/06/11 ,2115.24,33.15,1.59%
259,2024/06/10 ,2082.09,8.9,0.42%
260,2024/06/09 ,2073.19,-4.59,-0.22%
261,2024/06/06 ,2077.78,-1.93,-0.09%
262,2024/06/05 ,2079.71,-5.58,-0.26%
263,2024/06/04 ,2085.3,6.22,0.29%
264,2024/06/03 ,2079.07,-3.97,-0.19%
265,2024/06/02 ,2083.04,13.51,0.65%
266,2024/05/30 ,2069.53,-19.89,-0.95%
267,2024/05/29 ,2089.42,-23.81,-1.12%
268,2024/05/27 ,2113.27,3.93,0.18%
269,2024/05/26 ,2109.34,-22.14,-1.03%
270,2024/05/22 ,2131.49,15.54,0.73%
271,2024/05/21 ,2115.94,23.94,1.14%
272,2024/05/20 ,2092,27.54,1.33%
273,2024/05/19 ,2064.45,45.69,2.26%
274,2024/05/16 ,2018.76,0.79,0.03%
275,2024/05/15 ,2017.97,-9.54,-0.47%
276,2024/05/14 ,2027.51,28.62,1.43%
277,2024/05/13 ,1998.89,24.39,1.23%
278,2024/05/12 ,1974.5,8.26,0.42%
279,2024/05/09 ,1966.23,5.63,0.28%
280,2024/05/08 ,1960.6,-0.21,-0.01%
281,2024/05/07 ,1960.81,2.06,0.10%
282,2024/05/06 ,1958.75,-15.62,-0.79%
283,2024/05/05 ,1974.37,-24.58,-1.23%
284,2024/05/02 ,1998.96,-7.31,-0.36%
285,2024/04/30 ,2006.28,25.93,1.30%
286,2024/04/29 ,1980.34,0.07,0.00%
287,2024/04/28 ,1980.27,14.33,0.72%
288,2024/04/25 ,1965.93,-3.24,-0.16%
289,2024/04/24 ,1969.17,0.15,0.00%
290,2024/04/22 ,1969.02,-15.41,-0.77%
291,2024/04/21 ,1984.43,12.29,0.62%
292,2024/04/18 ,1972.14,-19.56,-0.98%
293,2024/04/16 ,1991.71,-14.81,-0.73%
294,2024/04/15 ,2006.52,-16.82,-0.83%
295,2024/04/14 ,2023.35,-2.35,-0.11%
296,2024/04/10 ,2025.3,-10.71,-0.52%
297,2024/04/09 ,2036.01,9.19,0.45%
298,2024/04/07 ,2026.81,22.75,1.13%
299,2024/04/04 ,2004.05,-2.73,-0.13%
300,2024/04/03 ,2006.78,-3.43,-0.17%
301,2024/04/02 ,2010.21,-1.85,-0.09%
302,2024/04/01 ,2012.07,-6.26,-0.31%
303,2024/03/31 ,2018.33,-17.3,-0.85%
304,2024/03/28 ,2035.64,4.78,0.23%
305,2024/03/27 ,2030.86,-10.83,-0.53%
306,2024/03/26 ,2041.7,10.14,0.49%
307,2024/03/25 ,2031.55,-17.01,-0.83%
308,2024/03/21 ,2048.57,-15.37,-0.74%
309,2024/03/20 ,2063.95,-3.34,-0.16%
310,2024/03/19 ,2067.29,-6.24,-0.30%
311,2024/03/18 ,2073.53,3.27,0.15%
312,2024/03/17 ,2070.25,-10.62,-0.51%
313,2024/03/14 ,2080.87,-27.84,-1.32%
314,2024/03/13 ,2108.72,-2.48,-0.11%
315,2024/03/12 ,2111.21,58.55,2.85%
316,2024/03/10 ,2052.65,22.1,1.08%
317,2024/03/07 ,2030.55,13.51,0.67%
318,2024/03/06 ,2017.03,9.33,0.46%
319,2024/03/05 ,2007.69,-70.31,-3.38%
320,2024/03/04 ,2078,117.7,6.00%
321,2024/03/03 ,1960.3,-11.78,-0.59%
322,2024/02/29 ,1972.09,-28.68,-1.43%
323,2024/02/28 ,2000.77,-0.87,-0.04%
324,2024/02/27 ,2001.64,9.34,0.46%
325,2024/02/26 ,1992.3,13.28,0.67%
326,2024/02/25 ,1979.02,-26.81,-1.33%
327,2024/02/22 ,2005.83,-20.76,-1.02%
328,2024/02/21 ,2026.59,-6.46,-0.31%
329,2024/02/20 ,2033.06,-1.76,-0.08%
330,2024/02/18 ,2034.82,-27.21,-1.31%
331,2024/02/15 ,2062.03,-14.46,-0.69%
332,2024/02/14 ,2076.5,5.91,0.28%
333,2024/02/13 ,2070.59,-30.56,-1.45%
334,2024/02/12 ,2101.16,15.33,0.73%
335,2024/02/11 ,2085.82,-10.5,-0.50%
336,2024/02/08 ,2096.32,5.68,0.27%
337,2024/02/07 ,2090.64,4.92,0.23%
338,2024/02/06 ,2085.71,9.44,0.45%
339,2024/02/05 ,2076.27,14.57,0.70%
340,2024/02/04 ,2061.7,-5.31,-0.25%
341,2024/02/01 ,2067.01,-30.92,-1.47%
342,2024/01/31 ,2097.93,-21.67,-1.02%
343,2024/01/30 ,2119.61,14.88,0.70%
344,2024/01/29 ,2104.72,10.26,0.48%
345,2024/01/28 ,2094.46,10.37,0.49%
346,2024/01/25 ,2084.09,-3.94,-0.18%
347,2024/01/24 ,2088.04,-10.25,-0.48%
348,2024/01/23 ,2098.29,-0.4,-0.01%
349,2024/01/22 ,2098.69,-31.49,-1.47%
350,2024/01/21 ,2130.18,-25.63,-1.18%
351,2024/01/18 ,2155.82,-7.24,-0.33%
352,2024/01/17 ,2163.06,-12.1,-0.55%
353,2024/01/16 ,2175.17,54.54,2.57%
354,2024/01/14 ,2120.62,31.62,1.51%
355,2024/01/11 ,2088.99,-0.62,-0.03%
356,2024/01/10 ,2089.62,9.5,0.45%
357,2024/01/09 ,2080.12,20.62,1.00%
358,2024/01/08 ,2059.49,36.57,1.80%
359,2024/01/07 ,2022.92,-26.36,-1.28%
360,2024/01/04 ,2049.28,-8.71,-0.42%
361,2024/01/03 ,2058,27.9,1.37%
362,2024/01/02 ,2030.1,-30.05,-1.45%
363,2024/01/01 ,2060.15,-8.75,-0.42%
364,2023/12/28 ,2068.9,-1.93,-0.09%
365,2023/12/27 ,2070.84,-17.23,-0.82%
366,2023/12/24 ,2088.07,-21.03,-0.99%
367,2023/12/21 ,2109.1,-32.77,-1.53%
368,2023/12/20 ,2141.87,35.39,1.68%
369,2023/12/19 ,2106.48,45.98,2.23%
370,2023/12/17 ,2022.35,27.75,1.39%
371,2023/12/14 ,1994.6,6.55,0.32%
372,2023/12/13 ,1988.04,2.6,0.13%
373,2023/12/12 ,1985.44,36.86,1.89%
374,2023/12/11 ,1948.57,-15.4,-0.78%
375,2023/12/10 ,1963.98,111.2,6.00%
376,2023/12/07 ,1852.77,11.73,0.63%
377,2023/12/06 ,1841.04,3.33,0.18%
378,2023/12/05 ,1837.71,-10.1,-0.54%
379,2023/12/04 ,1847.81,-3.42,-0.18%
380,2023/12/03 ,1851.23,-7.29,-0.39%
381,2023/11/30 ,1858.53,-18.06,-0.96%
382,2023/11/29 ,1876.6,-17.93,-0.94%
383,2023/11/28 ,1894.53,-2.17,-0.11%
384,2023/11/27 ,1896.67,-11.27,-0.59%
385,2023/11/26 ,1907.95,47.75,2.56%
386,2023/11/23 ,1860.2,9.87,0.53%
387,2023/11/22 ,1850.33,20.67,1.13%
388,2023/11/21 ,1829.65,-23.82,-1.28%
389,2023/11/20 ,1853.48,1.39,0.07%
390,2023/11/09 ,1852.08,-11.85,-0.63%
391,2023/11/08 ,1863.94,5.17,0.27%
392,2023/11/07 ,1858.76,11.22,0.60%
393,2023/11/06 ,1847.54,21.3,1.16%
394,2023/11/05 ,1826.23,-21.46,-1.16%
395,2023/11/02 ,1847.7,-10.86,-0.58%
396,2023/11/01 ,1858.56,-5.83,-0.31%
397,2023/10/31 ,1864.4,-14.29,-0.76%
398,2023/10/30 ,1878.7,3.04,0.16%
399,2023/10/29 ,1875.65,-28.18,-1.48%
400,2023/10/19 ,1903.84,-4.05,-0.21%
401,2023/10/18 ,1907.89,43.27,2.32%
402,2023/10/17 ,1864.62,13.18,0.71%
403,2023/10/16 ,1851.43,-23.16,-1.23%
404,2023/10/12 ,1874.6,-20.16,-1.06%
405,2023/10/11 ,1894.76,5.16,0.27%
406,2023/10/10 ,1889.59,-19.06,-0.99%
407,2023/10/09 ,1908.66,-12.58,-0.65%
408,2023/10/08 ,1921.24,-35.67,-1.82%
409,2023/10/05 ,1956.92,-11.04,-0.56%
410,2023/10/04 ,1967.97,9.24,0.47%
411,2023/10/03 ,1958.72,-17.56,-0.88%
412,2023/10/02 ,1976.29,5.19,0.26%
413,2023/10/01 ,1971.1,-33.2,-1.65%
414,2023/09/27 ,2004.3,-18.6,-0.91%
415,2023/09/26 ,2022.91,18.45,0.92%
416,2023/09/25 ,2004.45,-5.89,-0.29%
417,2023/09/24 ,2010.35,-19.42,-0.95%
418,2023/09/21 ,2029.78,44.34,2.23%
419,2023/09/19 ,1985.43,16.24,0.82%
420,2023/09/18 ,1969.18,4.26,0.21%
421,2023/09/17 ,1964.91,-42.14,-2.09%
422,2023/09/13 ,2007.06,39.48,2.00%
423,2023/09/12 ,1967.57,-19.42,-0.97%
424,2023/09/10 ,1942.68,10.23,0.52%
425,2023/09/07 ,1932.45,-28.92,-1.47%
426,2023/09/05 ,1961.37,-6.45,-0.32%
427,2023/09/04 ,1967.83,7.04,0.35%
428,2023/09/03 ,1960.78,-29.81,-1.49%
429,2023/08/30 ,1990.59,-2.82,-0.14%
430,2023/08/29 ,1993.42,-5.05,-0.25%
431,2023/08/28 ,1998.48,5.09,0.25%
432,2023/08/24 ,2013.93,-31.52,-1.54%
433,2023/08/23 ,2045.45,29.47,1.46%
434,2023/08/22 ,2015.98,17.69,0.88%
435,2023/08/21 ,1998.28,-12.93,-0.64%
436,2023/08/20 ,2011.22,-21.91,-1.07%
437,2023/08/17 ,2033.13,8.01,0.39%
438,2023/08/16 ,2025.12,-20.31,-0.99%
439,2023/08/15 ,2045.44,-31.8,-1.53%
440,2023/08/14 ,2077.24,-3.61,-0.17%
441,2023/08/13 ,2080.86,14.81,0.71%
442,2023/08/10 ,2066.05,5.13,0.24%
443,2023/08/09 ,2060.91,41.06,2.03%
444,2023/08/08 ,2019.85,-28.4,-1.38%
445,2023/08/07 ,2048.26,-3.21,-0.15%
446,2023/08/06 ,2051.47,-38.37,-1.83%
447,2023/08/03 ,2089.84,3,0.14%
448,2023/08/02 ,2086.84,9.25,0.44%
449,2023/08/01 ,2077.58,-28.59,-1.35%
450,2023/07/31 ,2106.18,5.84,0.27%
451,2023/07/30 ,2100.34,-26.14,-1.22%
452,2023/07/27 ,2126.48,-29.71,-1.37%
453,2023/07/26 ,2156.2,-8.11,-0.37%
454,2023/07/25 ,2164.31,-36.19,-1.64%
455,2023/07/24 ,2200.5,-26.66,-1.19%
456,2023/07/23 ,2227.16,63.24,2.92%
457,2023/07/20 ,2163.92,-1.31,-0.06%
458,2023/07/19 ,2165.24,11.17,0.51%
459,2023/07/18 ,2154.07,9.91,0.46%
460,2023/07/17 ,2144.16,47.07,2.24%
461,2023/07/16 ,2097.09,12.16,0.58%
462,2023/07/13 ,2084.93,-12.62,-0.60%
463,2023/07/12 ,2097.55,25.31,1.22%
464,2023/07/11 ,2072.24,-4.73,-0.23%
465,2023/07/10 ,2076.96,-0.8,-0.04%
466,2023/07/09 ,2077.76,28.38,1.38%
467,2023/07/06 ,2049.38,-0.06,0.00%
468,2023/07/05 ,2049.44,-39.26,-1.88%
469,2023/07/04 ,2088.7,12.73,0.61%
470,2023/07/03 ,2075.97,-21.32,-1.02%
471,2023/07/02 ,2097.29,-53.7,-2.50%
472,2023/06/28 ,2150.99,-35.37,-1.62%
473,2023/06/27 ,2186.36,56.94,2.67%
474,2023/06/26 ,2129.42,11.69,0.55%
475,2023/06/25 ,2117.73,62.21,3.03%
476,2023/06/22 ,2055.53,4.75,0.23%
477,2023/06/21 ,2050.78,-14.05,-0.68%
478,2023/06/20 ,2064.83,-26.56,-1.27%
479,2023/06/19 ,2091.39,-2.94,-0.14%
480,2023/06/18 ,2094.33,52.26,2.56%
481,2023/06/15 ,2042.07,5,0.25%
482,2023/06/14 ,2037.06,16.42,0.81%
483,2023/06/13 ,2020.64,34.17,1.72%
484,2023/06/12 ,1987.87,7.79,0.39%
485,2023/06/11 ,1980.09,40.48,2.09%
486,2023/06/08 ,1939.61,7.27,0.38%
487,2023/06/07 ,1932.33,4.68,0.24%
488,2023/06/06 ,1927.65,25.66,1.35%
489,2023/06/05 ,1901.99,-17.38,-0.91%
490,2023/06/04 ,1919.37,53.03,2.84%
491,2023/06/01 ,1866.34,16.54,0.89%
492,2023/05/31 ,1849.79,-38.83,-2.06%
493,2023/05/30 ,1888.61,-53.16,-2.74%
494,2023/05/28 ,1941.77,-17.35,-0.89%
495,2023/05/25 ,1959.12,16.49,0.85%
496,2023/05/24 ,1959.12,16.49,0.85%
497,2023/05/23 ,1942.63,51.31,2.71%
498,2023/05/22 ,1891.31,8.1,0.43%
499,2023/05/21 ,1883.2,5.88,0.31%
500,2023/05/18 ,1877.32,32.3,1.75%
501,2023/05/17 ,1845.01,23.39,1.28%
502,2023/05/16 ,1821.62,3.31,0.18%
503,2023/05/15 ,1818.31,-3.34,-0.18%
504,2023/05/14 ,1821.64,-16.96,-0.92%
505,2023/05/11 ,1838.59,-3.34,-0.18%
506,2023/05/10 ,1841.93,-2.43,-0.13%
507,2023/05/09 ,1844.36,10.66,0.58%
508,2023/05/08 ,1833.69,-16.93,-0.91%
509,2023/05/07 ,1850.61,-19.12,-1.02%
510,2023/05/04 ,1869.73,12.73,0.69%
511,2023/05/03 ,1857.23,-9.18,-0.49%
512,2023/05/02 ,1866.4,-4.27,-0.23%
513,2023/04/30 ,1870.66,-19.1,-1.01%
514,2023/04/27 ,1889.75,-2.25,-0.12%
515,2023/04/26 ,1892,-13.68,-0.72%
516,2023/04/25 ,1905.68,17.36,0.92%
517,2023/04/24 ,1888.32,2.71,0.14%
518,2023/04/23 ,1885.6,-18.8,-0.99%
519,2023/04/20 ,1904.4,-15.73,-0.82%
520,2023/04/19 ,1920.12,15.13,0.79%
521,2023/04/18 ,1904.98,-3.07,-0.16%
522,2023/04/17 ,1908.05,-23.63,-1.22%
523,2023/04/16 ,1931.68,-2.8,-0.14%
524,2023/04/13 ,1934.47,-29.08,-1.48%
525,2023/04/12 ,1963.55,92.22,4.93%
526,2023/04/11 ,1871.33,27.31,1.48%
527,2023/04/10 ,1844.02,5.54,0.30%
528,2023/04/09 ,1838.48,-28.31,-1.52%
529,2023/04/06 ,1866.79,-8.28,-0.44%
530,2023/04/05 ,1875.07,8.39,0.45%
531,2023/04/04 ,1866.68,-5.2,-0.28%
532,2023/04/03 ,1871.88,-16.67,-0.88%
533,2023/04/02 ,1888.54,-20.01,-1.05%
534,2023/04/02 ,1888.55,-20,-1.05%
535,2023/03/30 ,1908.55,-10.87,-0.57%
536,2023/03/29 ,1919.42,1.02,0.05%
